Phylum,Genus,Species,Mean_12W,Mean_20W,Log2FC(20W/12W),P_value
Bacteroidota,Duncaniella,Duncaniella muris,0.002645732130464955,0.0032240342354846172,0.28519996382617496,0.5202987880445907
Bacillota_A_368345,Lawsonibacter,Lawsonibacter sp000492175,0.0019083969465648854,0.00306500115660421,0.6835260499323383,0.5611925497426191
Bacillota_A_368345,COE1,COE1 sp000403215,0.0007228776312745779,0.0011855193152903076,0.713695036008475,0.5685617029924303
Bacillota_A_368345,COE1,unclassified,0.008949225075179272,0.00613000231320842,-0.5458750705101738,0.5789758434077583
Bacillota_A_368345,Eubacterium_F,unclassified,0.003021628498727736,0.003816793893129771,0.3370348878075734,0.5879371037572683
Bacteroidota,UBA7173,UBA7173 sp900540205,0.007966111496645847,0.006766134628730048,-0.23554375686887702,0.597451455142869
Pseudomonadota,Parasutterella_564865,Parasutterella excrementihominis,0.00390353920888272,0.002645732130464955,-0.5611155830618296,0.6109565765036623
Bacillota_A_368345,Eubacterium_J,Eubacterium_J plexicaudatum,0.002992713393476752,0.0020385149201943096,-0.553935379451198,0.673401983108797
Bacillota_A_368345,Evtepia,unclassified,0.0075323849178811015,0.006549271339347675,-0.20177229348129133,0.6912706634042809
Bacillota_A_368345,Acutalibacter,Acutalibacter timonensis,0.0012433495257922738,0.0017349063150589865,0.4806255121466435,0.7168805260618025
Bacillota_A_368345,Acetatifactor,Acetatifactor sp011959105,0.003802336340504279,0.002399953735831598,-0.6638793362342416,0.7186505168693477
Bacteroidota,Lepagella,Lepagella muris_A,0.019156257228776313,0.017724959518852647,-0.11203337456567246,0.7322245703301851
Actinomycetota,Bifidobacterium_388775,Bifidobacterium globosum,0.0010409437890353923,0.0008674531575294935,-0.26303412864427955,0.7608542082851039
Bacillota_A_368345,Luxibacter,unclassified,0.0012578070784177657,0.0014602128151746472,0.2152678279141512,0.7846809995495189
Verrucomicrobiota,Akkermansia,Akkermansia muciniphila_D_776786,0.003036086051353227,0.002558986814712006,-0.24663987898980472,0.8055414599027008
Bacillota_A_368345,Otoolea_134526,unclassified,0.0012144344205412907,0.0014602128151746472,0.265893860020142,0.8102882080054779
Bacteroidota,unclassified,unclassified,0.09218135554013418,0.08992597733055747,-0.035737048579983784,0.8509253230958548
Bacteroidota,CAG-873,CAG-873 sp011959565,0.01905505436039787,0.018216516308119362,-0.06492663313562039,0.8515024866615715
Bacillota_A_368345,UMGS1994,UMGS1994 sp900553945,0.029204256303492947,0.032095766828591256,0.13620437914784614,0.8515989154114667
Bacillota_A_368345,Petralouisia,Petralouisia sp000403315,0.0012288919731667824,0.0012288919731667824,0.0,1.0
