Phylum,Genus,Species,Mean_Sham,Mean_HS2W,Log2FC(HS2W/Sham),P_value
Bacillota_A_368345,Hominisplanchenecus_A,Hominisplanchenecus_A murintestinalis,0.0015469581309275969,0.0,-20.561003652092424,0.06450218083622473
Bacteroidota,Duncaniella,Duncaniella freteri,0.0021686328938237335,0.004250520471894519,0.9708533285011507,0.0646115151901482
Actinomycetota,Granulimonas,unclassified,0.0,0.0026283830673143648,21.325744671287705,0.0791174034718903
Bacteroidota,UBA3263,UBA3263 sp001689615,0.0,0.007885149201943095,22.910706806081816,0.08067502341167311
Bacteroidota,Parabacteroides_B_862066,Parabacteroides_B_862066 goldsteinii,0.0005927596576451539,0.03164469118667591,5.738370027111211,0.08266739324718271
Actinomycetota,Bifidobacterium_388775,Bifidobacterium globosum,0.0010409437890353923,0.00036433032616238725,-1.5145705989291744,0.10039699771490379
Bacillota_A_368345,Petralouisia,unclassified,0.0004481841313902383,0.025164816099930605,5.811169513999946,0.10877868399695143
Bacillota_A_368345,Lawsonibacter,unclassified,0.0,0.0026977793199167246,21.363341443825988,0.11192499572978366
Bacillota_I,Pelethenecus,unclassified,0.007937196391394865,0.0,-22.920198253859354,0.11932771772498793
Bacillota_I,Turicibacter,unclassified,0.011262433495257922,0.0,-23.425015379250006,0.13931795282111623
unclassified,unclassified,unclassified,0.0005493869997686791,0.0015700902151283829,1.5149510723280506,0.15967703624447657
Bacillota_A_368345,G11,unclassified,0.007503469812630119,0.0,-22.839126653718612,0.1630982565281641
Bacillota_A_368345,Evtepia,unclassified,0.0075323849178811015,0.004614850798056905,-0.7068225998557671,0.18321225750452216
Bacillota_A_368345,Otoolea_134526,unclassified,0.0012144344205412907,0.0003122831367106176,-1.9593545836357584,0.18354863694566192
Bacillota_A_368345,UMGS1071,UMGS1071 sp900548305,0.006737219523479066,0.0,-22.68372209188267,0.18585142327217344
Bacillota_A_368345,CAG-314,unclassified,0.0018071940781864448,0.007668285912560723,2.0851520703945807,0.18678063327421324
Bacillota_A_368345,Acutalibacter,Acutalibacter muris,0.0012578070784177652,0.0006158917418459403,-1.0301607750549286,0.19270520911949965
Bacillota_A_368345,unclassified,unclassified,0.03508848022206801,0.026361901457321306,-0.4125430141844462,0.2035547217199723
Bacillota_A_368345,Massiliimalia,unclassified,0.0,0.0022900763358778627,21.1269648882593,0.20436174644563254
Deferribacterota,Mucispirillum,Mucispirillum schaedleri,0.0008096229470275271,0.006080846634281749,2.9089485731057505,0.2527600450193315
Bacillota_A_368345,Paludihabitans,Paludihabitans psychrotolerans,0.0003036086051353227,0.0018043025676613461,2.5711527489644457,0.2907768375568154
Bacillota_A_368345,Harryflintia,unclassified,0.0006505898681471201,0.0014659958362248438,1.1720595123750386,0.3030857251775663
Bacillota_A_368345,Dysosmobacter,unclassified,0.0027903076567198704,0.00402498265093685,0.5285582050904473,0.3827262130966311
Bacteroidota,Duncaniella,Duncaniella muris,0.002645732130464955,0.004354614850798057,0.7188779075117229,0.40263768134777106
Bacillota_A_368345,Suilimivivens,Suilimivivens sp000403495,0.0,0.005794587092297016,22.46627468037106,0.41754615154115793
Bacillota_A_368345,Ventrisoma,Ventrisoma faecale,0.0013590099467962063,0.0008154059680777238,-0.7369648864482435,0.42860447440496596
Campylobacterota_A,Helicobacter_C,Helicobacter_C hepaticus,0.009715475364330326,0.01589174184594032,0.7099207134401306,0.46984003807189906
Bacillota_A_368345,COE1,unclassified,0.008949225075179272,0.00590735600277585,-0.5992501223572514,0.4716372800594604
Bacillota_I,Ligilactobacillus,unclassified,0.0016337034466805459,0.001214434420541291,-0.42786123476290117,0.4855880739893871
Bacillota_A_368345,Sporofaciens,Sporofaciens musculi,0.0012578070784177657,0.0016915336571825122,0.4274209296342887,0.5365880050283017
Bacteroidota,JAGBWK01,unclassified,0.0014602128151746472,0.001960444136016655,0.4250016333962072,0.5974558609456327
Verrucomicrobiota,Akkermansia,Akkermansia muciniphila_D_776786,0.003036086051353227,0.004267869535045108,0.49130325636077354,0.6375471606310271
Bacillota_A_368345,Emergencia,Emergencia timonensis,0.0013590099467962063,0.0010929909784871616,-0.3142742639706626,0.6493293616325471
Bacillota_B_370539,unclassified,unclassified,0.003498727735368957,0.0039382373351839,0.17071960983179507,0.819659551407271
Bacteroidota,Bacteroides_H_857956,Bacteroides_H_857956 thetaiotaomicron,0.002313208420078649,0.0024375433726578763,0.07553259935466164,0.9233889620560191
Bacillota_A_368345,Anaerotruncus,Anaerotruncus sp000403395,0.0038457089983807546,0.004016308119361554,0.06262033765799807,0.9289841986657679
Bacillota_A_368345,Dysosmobacter,Dysosmobacter sp000403435,0.006144459865833912,0.005976752255378209,-0.03992444589860471,0.9423375712845468
