Sample,GiNV-1,GiNV-2,GiNV-3
Label,GiNV,GiNV,GiNV
A0A8J5L1V2,13.9,7.8,7.7
A0A8J5HIA5,8.5,7.8,7.7
A0A8J5GJI2,8.5,7.8,7.7
A0A8J5GEV4,8.5,7.8,7.7
A0A8J5LDP7,7.5,7.8,7.7
A0A8J5G7A1,5.3,7.8,7.7
A0A8J5KCU7,9.6,6.8,7.7
A0A8J5LFA9,8.5,6.8,7.7
A0A8J5C9Y4,7.5,6.8,7.7
A0A8J5FJF7,3.2,5.9,7.7
A0A8J5L901,7.5,4.9,7.7
A0A8J5L138,6.4,2.9,7.7
A0A8J5G4A9,9.6,10.7,6.7
A0A8J5HGA2,9.6,8.8,6.7
A0A8J5GW31,7.5,7.8,6.7
A0A8J5KGM1,5.3,7.8,6.7
A0A8J5LFR4,8.5,6.8,6.7
A0A8J5GDJ1,8.5,5.9,6.7
A0A8J5FSE5,6.4,5.9,6.7
A0A8J5LXG5,11.7,8.8,5.8
A0A8J5LGJ4,9.6,8.8,5.8
A0A8J5KTU7,9.6,8.8,5.8
A0A8J5LYU9,6.4,6.8,5.8
A0A8J5H6F8,6.4,6.8,5.8
A0A8J5KY37,8.5,5.9,5.8
A0A8J5LLZ1,7.5,5.9,5.8
A0A8J5F115,7.5,5.9,5.8
A0A8J5M8K1,6.4,5.9,5.8
A0A8J5M0G1,6.4,5.9,5.8
A0A8J5G6W2,5.3,5.9,5.8
A0A8J5C649,5.3,5.9,5.8
A0A8J5FLE4,4.3,5.9,5.8
A0A8J5HXN2,8.5,4.9,5.8
A0A8J5H3V1,6.4,4.9,5.8
A0A8J5GU48,6.4,4.9,5.8
A0A8J5G4L7,5.3,4.9,5.8
A0A8J5G2I2,4.3,4.9,5.8
A0A8J5GL54,3.2,4.9,5.8
A0A8J5K9W1,8.5,3.9,5.8
A0A8J5HB06,5.3,3.9,5.8
A0A8J5EXD8,5.3,3.9,5.8
A0A8J5IC44,4.3,3.9,5.8
A0A8J5GDN3,4.3,3.9,5.8
A0A8J5GGD7,3.2,2.9,5.8
A0A8J5G397,7.5,7.8,4.8
A0A8J5M874,10.7,6.8,4.8
A0A8J5G4P2,6.4,6.8,4.8
A0A8J5HJ65,11.7,5.9,4.8
A0A8J5FY14,8.5,5.9,4.8
A0A8J5FTG1,5.3,5.9,4.8
A0A8J5GGW1,8.5,4.9,4.8
A0A8J5KHG4,7.5,4.9,4.8
A0A8J5LTQ0,5.3,4.9,4.8
A0A8J5HAI9,5.3,4.9,4.8
A0A8J5CVW8,5.3,4.9,4.8
A0A8J5GZY9,4.3,4.9,4.8
A0A8J5C2V1,4.3,4.9,4.8
A0A8J5L990,3.2,4.9,4.8
A0A8J5GUV5,5.3,3.9,4.8
A0A8J5GDF9,4.3,3.9,4.8
A0A8J5LHB9,3.2,2.9,4.8
A0A8J5L379,2.1,2.9,4.8
A0A8J5HFN4,5.3,2,4.8
A0A8J5M3A0,9.6,8.8,3.9
A0A8J5FQL5,17.1,6.8,3.9
A0A8J5LCL3,5.3,6.8,3.9
A0A8J5M6F7,6.4,4.9,3.9
A0A8J5KZG2,6.4,4.9,3.9
A0A8J5F9Q4,6.4,4.9,3.9
A0A8J5GZL0,5.3,4.9,3.9
A0A8J5G803,5.3,4.9,3.9
A0A8J5FVT2,5.3,4.9,3.9
A0A8J5C8S9,3.2,4.9,3.9
A0A8J5GSQ7,7.5,3.9,3.9
A0A8J5FEF5,6.4,3.9,3.9
A0A8J5CEG0,6.4,3.9,3.9
A0A8J5LMG5,5.3,3.9,3.9
A0A8J5L9X1,4.3,3.9,3.9
A0A8J5HYJ3,4.3,3.9,3.9
A0A8J5H3Y3,4.3,3.9,3.9
A0A8J5H0D1,4.3,3.9,3.9
A0A8J5GFI0,4.3,3.9,3.9
A0A8J5GAC2,4.3,3.9,3.9
A0A8J5LB65,3.2,3.9,3.9
A0A8J5F342,2.1,3.9,3.9
A0A8J5HBQ8,4.3,2.9,3.9
A0A8J5LJH0,3.2,2.9,3.9
A0A8J5HAP6,3.2,2.9,3.9
A0A8J5HSP2,2.1,2,3.9
A0A8J5L2P8,6.4,6.8,2.9
A0A8J5GB79,8.5,5.9,2.9
A0A8J5KUJ1,6.4,5.9,2.9
A0A8J5HZG8,5.3,5.9,2.9
A0A8J5KKY4,3.2,5.9,2.9
A0A8J5F1C3,3.2,4.9,2.9
A0A8J5M9B5,5.3,3.9,2.9
A0A8J5H685,3.2,3.9,2.9
A0A8J5H657,3.2,3.9,2.9
A0A8J5F9Y1,3.2,3.9,2.9
A0A8J5LTL4,3.2,2.9,2.9
A0A8J5H3Z6,3.2,2.9,2.9
A0A8J5FXT1,3.2,2.9,2.9
A0A8J5IE53,2.1,2.9,2.9
A0A8J5HLZ3,5.3,2,2.9
A0A8J5FHS9,3.2,2,2.9
A0A8J5KJ38,3.2,3.9,1.9
A0A8J5F2Z5,4.3,2.9,1.9
A0A8J5L8B8,3.2,2.9,1.9
A0A8J5FJ89,2.1,2.9,1.9
A0A8J5KQW5,3.2,2,1.9
A0A8J5HZS2,2.1,2,1.9
