Group,Sample,Tissue_Area_um2,Collagen_Area_um2,CVF_Percent
Sham10W,20260107_sham-4(10w)_mt_6.jpg,178461.1179187483,3240.6447356018484,1.8158827947482008
Sham10W,20260107_sham-5(10w)_mt_1.jpg,179326.76029786037,4119.860495805449,2.2974041849428346
Sham10W,20260107_sham-5(10w)_mt_2.jpg,179698.50127250454,4029.852012442267,2.242562950667675
Sham10W,20260107_sham-5(10w)_mt_3.jpg,181404.25110755026,3517.032708078048,1.9387818568777
Sham10W,20260107_sham-5(10w)_mt_4.jpg,182605.8346686776,2899.35903478179,1.5877691093728878
Sham10W,20260107_sham-5(10w)_mt_5.jpg,181499.68894335005,3799.443868413612,2.093361090882916
Sham10W,20260107_sham-5(10w)_mt_6.jpg,179514.83645960983,4556.329531529835,2.5381353549320655
Sham10W,20260107_sham-6(10w)_mt_1.jpg,178864.07766990297,4308.02149118673,2.408544827618917
Sham10W,20260107_sham-6(10w)_mt_2.jpg,178899.1987934773,4987.623715713075,2.7879519580581404
Sham10W,20260107_sham-6(10w)_mt_3.jpg,180509.0866245641,3028.645489678576,1.6778354742760249
Sham10W,20260107_sham-6(10w)_mt_4.jpg,179759.66632104822,3034.583843906118,1.6881338878802739
Sham10W,20260107_sham-6(10w)_mt_5.jpg,182680.9124328401,2660.467527570931,1.4563467480758354
Sham10W,20260107_sham-6(10w)_mt_6.jpg,181087.73682722222,2866.104251107551,1.582715815727562
HS2W,20251126_hs2w-1_mt_1.jpg,161067.0845508531,13956.9139409935,8.665280047697726
HS2W,20251126_hs2w-1_mt_2.jpg,159895.53209539075,22214.365161655205,13.893049336989929
HS2W,20251126_hs2w-1_mt_3.jpg,155899.78320294095,12050.193232161377,7.729448357522832
HS2W,20251126_hs2w-1_mt_4.jpg,153942.925817702,18617.07983787351,12.093494870897615
HS2W,20251126_hs2w-1_mt_5.jpg,159904.5244603639,12833.37732114243,8.025649908563711
HS2W,20251126_hs2w-1_mt_6.jpg,148739.82467716094,19094.438684136116,12.837475589056597
HS2W,20251126_hs2w-2_mt_1.jpg,158756.89508907535,16478.254312376288,10.379551894820484
HS2W,20251126_hs2w-2_mt_2.jpg,168543.81185785658,20088.60401545858,11.918921136304036
HS2W,20251126_hs2w-2_mt_3.jpg,165207.5596191913,12399.453294372706,7.505378883965021
HS2W,20251126_hs2w-2_mt_4.jpg,164216.87246677355,20409.020642850417,12.428089961937273
HS2W,20251126_hs2w-2_mt_5.jpg,170591.27156188147,10302.196248468284,6.0391110014859075
HS2W,20251126_hs2w-2_mt_6.jpg,172820.2752380055,10815.863889150723,6.258446165680084
HS2W,20251126_hs2w-3_mt_1.jpg,170238.3636535018,12839.739843529083,7.542212911340427
HS2W,20251126_hs2w-3_mt_2.jpg,163134.2256574607,13356.800829484404,8.187614080156424
HS2W,20251126_hs2w-3_mt_3.jpg,168824.69601281936,17735.40390234707,10.50521891714253
HS2W,20251126_hs2w-3_mt_4.jpg,169677.1043453672,11602.526157036482,6.838003395803044
HS2W,20251126_hs2w-3_mt_5.jpg,164043.8966914884,22809.13375435951,13.904286727140997
HS2W,20251126_hs2w-3_mt_6.jpg,157114.60081063252,17895.060797436145,11.389813998894189
HS2W,20251126_hs2w-4_mt_1.jpg,166740.757847111,12886.398341031203,7.728403365448947
HS2W,20251126_hs2w-4_mt_2.jpg,156722.83909887835,18701.489301536436,11.932842340698944
HS2W,20251126_hs2w-4_mt_3.jpg,168627.033650674,13423.22556320106,7.960304627672259
HS2W,20251126_hs2w-4_mt_4.jpg,167082.04354793104,13041.728720897356,7.805583678509448
HS2W,20251126_hs2w-4_mt_5.jpg,167198.60495805452,9532.500706946934,5.701303972804302
HS2W,20251126_hs2w-4_mt_6.jpg,170052.91733433882,11970.87378640777,7.039499218276857
HS2W,20251126_hs2w-5_mt_1.jpg,171664.84117258937,16210.264869450471,9.442973155553096
HS2W,20251126_hs2w-5_mt_2.jpg,171700.21679705914,14786.58686021303,8.611862661588843
HS2W,20251126_hs2w-5_mt_3.jpg,164396.71976623626,15781.600527853714,9.599705243689986
HS2W,20251126_hs2w-5_mt_4.jpg,166163.71948345748,14743.576208879258,8.872921390247924
HS2W,20251126_hs2w-5_mt_5.jpg,163152.7193891979,19858.959374116323,12.172006356046772
HS2W,20251126_hs2w-5_mt_6.jpg,167554.05787538885,13369.271373362244,7.979079434354889
HS6W,20251210_hs6w-1_mt_1.jpg,151246.65849750215,33582.071825808285,22.203513227608195
HS6W,20251210_hs6w-1_mt_2.jpg,152342.20001885196,38654.78367423887,25.373654620620833
HS6W,20251210_hs6w-1_mt_3.jpg,145250.78706758417,44325.23329248752,30.51634637398784
HS6W,20251210_hs6w-1_mt_4.jpg,148352.47431426152,38702.375341691026,26.088122574690665
HS6W,20251210_hs6w-1_mt_5.jpg,154839.8718069564,33133.810915260634,21.398758942767383
HS6W,20251210_hs6w-1_mt_6.jpg,145828.07993213314,33803.65727212745,23.180485739001238
HS6W,20251210_hs6w-2_mt_1.jpg,151520.5014610237,32250.6079743614,21.28464970970108
HS6W,20251210_hs6w-2_mt_2.jpg,153564.39815251206,28363.785465171088,18.47028725824958
HS6W,20251210_hs6w-2_mt_3.jpg,156909.8124234141,30195.089075313423,19.2435951639744
HS6W,20251210_hs6w-2_mt_4.jpg,146695.33415024984,37786.17211801302,25.758264458030595
HS6W,20251210_hs6w-2_mt_5.jpg,150207.87067584132,29416.486002450758,19.58385127896095
HS6W,20251210_hs6w-2_mt_6.jpg,152825.8365538694,40776.04863794892,26.681384219726368
HS6W,20251210_hs6w-3_mt_1.jpg,165329.63521538323,4653.039871806957,2.81440158368777
HS6W,20251210_hs6w-3_mt_2.jpg,158387.5294561222,6979.6022245263475,4.406661464127385
HS6W,20251210_hs6w-3_mt_3.jpg,169631.54868507874,6207.701008577625,3.659520329029261
HS6W,20251210_hs6w-3_mt_4.jpg,152833.04741257426,9642.445093788296,6.309136182934587
HS6W,20251210_hs6w-3_mt_5.jpg,168942.52992742017,6890.61174474503,4.078672047651544
HS6W,20251210_hs6w-3_mt_6.jpg,164567.74436798948,5802.620416627394,3.5259767574210468
HS6W,20251210_hs6w-4_mt_1.jpg,170501.85691394104,26161.504383070984,15.343823731066882
HS6W,20251210_hs6w-4_mt_2.jpg,165832.61381845607,28279.885003299092,17.053270977359297
HS6W,20251210_hs6w-4_mt_3.jpg,158585.0221510039,31547.50683382035,19.89311878632584
HS6W,20251210_hs6w-4_mt_4.jpg,167046.32858893397,19375.747007257993,11.599025953415385
HS6W,20251210_hs6w-4_mt_5.jpg,157514.33688377796,30214.261476105203,19.18191199217555
HS6W,20251210_hs6w-4_mt_6.jpg,159812.81930436427,32203.270807804704,20.150618046774724
HS6W,20251210_hs6w-5_mt_1.jpg,158918.41832406452,32052.43661042512,20.169113780798007
HS6W,20251210_hs6w-5_mt_2.jpg,144490.93222735418,40801.83806202282,28.23833816631606
HS6W,20251210_hs6w-5_mt_3.jpg,150132.28390988786,34915.656518050724,23.256594523672025
HS6W,20251210_hs6w-5_mt_4.jpg,148483.96644358567,43902.33763785467,29.567056086513364
HS6W,20251210_hs6w-5_mt_5.jpg,148416.01470449622,51706.35309642758,34.83879633837193
HS6W,20251210_hs6w-5_mt_6.jpg,153271.9766236215,40663.219907625615,26.53010733167436
HS6W,20251210_hs6w-6_mt_1.jpg,154273.77698180795,34458.14874163447,22.335713441240113
HS6W,20251210_hs6w-6_mt_2.jpg,153153.3792063343,33048.807616174956,21.578895475528682
HS6W,20251210_hs6w-6_mt_3.jpg,162386.3323593176,30183.72136864927,18.587599664398326
HS6W,20251210_hs6w-6_mt_4.jpg,160839.9849184655,31668.479592798576,19.689432082981266
HS6W,20251210_hs6w-6_mt_5.jpg,161626.4775190876,32775.049486285236,20.278267514933994
HS6W,20251210_hs6w-6_mt_6.jpg,151310.7078895278,26786.55858233576,17.703015838041463
HS10W,20260107_hs10w-1_mt_1.jpg,160338.8726552927,11773.890093316999,7.343128898398393
HS10W,20260107_hs10w-1_mt_2.jpg,162065.321896503,14859.119615420874,9.168599081862865
HS10W,20260107_hs10w-1_mt_3.jpg,166904.06258836843,14176.548213780756,8.493830523912438
HS10W,20260107_hs10w-1_mt_4.jpg,164050.51371477052,9833.405599019703,5.994132768225729
HS10W,20260107_hs10w-1_mt_5.jpg,165842.62418701107,10567.216514280331,6.371833879307347
HS10W,20260107_hs10w-1_mt_6.jpg,161746.1777735885,11791.365821472338,7.290042944926856
HS10W,20260107_hs10w-2_mt_1.jpg,163961.77773588468,7751.50344047507,4.727628321377109
HS10W,20260107_hs10w-2_mt_2.jpg,172420.53916486006,6306.9563578094085,3.6578915646348875
HS10W,20260107_hs10w-2_mt_3.jpg,167718.29578659634,9910.519370345935,5.909026993069388
HS10W,20260107_hs10w-2_mt_4.jpg,174816.07126025078,6772.438495616931,3.8740365498402722
HS10W,20260107_hs10w-2_mt_5.jpg,165061.47610519375,9295.305872372517,5.631420542034057
HS10W,20260107_hs10w-2_mt_6.jpg,172469.5730040532,10268.177962107648,5.953617083441341
HS10W,20260107_hs10w-3_mt_1.jpg,159711.52794796875,15730.445847865025,9.849286429085904
HS10W,20260107_hs10w-3_mt_2.jpg,168538.72183994728,5604.618719954757,3.325419024642409
HS10W,20260107_hs10w-3_mt_3.jpg,173415.46799886893,7572.589310962393,4.366732332672759
HS10W,20260107_hs10w-3_mt_4.jpg,174636.13912715623,4480.657931944576,2.5657105993863705
HS10W,20260107_hs10w-3_mt_5.jpg,172245.01838062028,6180.639080026394,3.5882832131427227
HS10W,20260107_hs10w-3_mt_6.jpg,171990.85681968144,8248.883023847678,4.796117175284479
HS10W,20260107_hs10w-4_mt_1.jpg,169376.96295598082,9627.938542746728,5.68432588158339
HS10W,20260107_hs10w-4_mt_2.jpg,161729.2110472241,18489.065887454053,11.432112830906807
HS10W,20260107_hs10w-4_mt_3.jpg,161032.04826091058,15566.547271184847,9.666738664320597
HS10W,20260107_hs10w-4_mt_4.jpg,155475.27570930347,21937.72268828354,14.110103737201998
HS10W,20260107_hs10w-4_mt_5.jpg,163669.61070788957,13806.503911773027,8.435594031206122
HS10W,20260107_hs10w-4_mt_6.jpg,168849.29776604773,14168.573852389485,8.39125423667501
HS10W,20260107_hs10w-5_mt_1.jpg,145937.3456499199,15954.745970402493,10.932599808054167
HS10W,20260107_hs10w-5_mt_2.jpg,150543.21802243384,22244.735601847493,14.776312007979397
HS10W,20260107_hs10w-5_mt_3.jpg,164074.69129983982,16948.062965406734,10.329480330659187
HS10W,20260107_hs10w-5_mt_4.jpg,162399.0574040909,13547.25233292488,8.341952563933797
HS10W,20260107_hs10w-5_mt_5.jpg,150639.16486002455,19961.099066830055,13.250935827597102
HS10W,20260107_hs10w-5_mt_6.jpg,161741.85125836558,23988.915072108593,14.831606591288995
HS10W,20260107_hs10w-6_mt_1.jpg,157894.0522198134,13635.309642756154,8.635733551111636
HS10W,20260107_hs10w-6_mt_2.jpg,165949.59939673866,11318.16382316901,6.820241726592226
HS10W,20260107_hs10w-6_mt_3.jpg,166440.95579225192,10503.251955886515,6.310497260660082
HS10W,20260107_hs10w-6_mt_4.jpg,166027.64633801495,20633.91460081064,12.42799922538331
HS10W,20260107_hs10w-6_mt_5.jpg,164139.41936092003,16175.313413139791,9.854618394605442
HS10W,20260107_hs10w-6_mt_6.jpg,167816.3634649826,16788.575737581305,10.004135109914053
HFD10W,20260107_hfd10w-1_mt_1.jpg,172488.91507210865,10111.066075973233,5.861864266318982
HFD10W,20260107_hfd10w-1_mt_2.jpg,174198.65208785,7839.73041756999,4.500454121548738
HFD10W,20260107_hfd10w-1_mt_3.jpg,178912.00867188242,9234.564991987938,5.161512108962885
HFD10W,20260107_hfd10w-1_mt_4.jpg,180179.42313130366,4443.33113394288,2.4660591407848242
HFD10W,20260107_hfd10w-1_mt_5.jpg,178774.917522858,6306.532189650298,3.5276381480326795
HFD10W,20260107_hfd10w-1_mt_6.jpg,180977.6227731172,5463.0313884437755,3.018622581473794
HFD10W,20260107_hfd10w-2_mt_1.jpg,171590.3572438496,5290.47978131775,3.083203430714566
HFD10W,20260107_hfd10w-2_mt_2.jpg,178222.39607880107,3814.459421246113,2.140280629803422
HFD10W,20260107_hfd10w-2_mt_3.jpg,178685.33320765392,4883.617683099257,2.7330825621954675
HFD10W,20260107_hfd10w-2_mt_4.jpg,181001.88519181832,4537.8357997926305,2.507065489944273
HFD10W,20260107_hfd10w-2_mt_5.jpg,179401.2442266001,4212.583655386937,2.348135138943663
HFD10W,20260107_hfd10w-2_mt_6.jpg,177762.76746158928,3168.536148553116,1.7824520813886233
HFD10W,20260107_hfd10w-3_mt_1.jpg,169482.15665944014,5013.582807050619,2.95817737151232
HFD10W,20260107_hfd10w-3_mt_2.jpg,173097.51154679994,5849.618248656802,3.379377436674043
HFD10W,20260107_hfd10w-3_mt_3.jpg,173735.03628994254,5039.287397492696,2.900559095681047
HFD10W,20260107_hfd10w-3_mt_4.jpg,175035.02686398345,5427.146762183053,3.100606124053325
HFD10W,20260107_hfd10w-3_mt_5.jpg,173279.39485342638,4611.810726741447,2.6614882459870586
HFD10W,20260107_hfd10w-3_mt_6.jpg,177183.01442171747,5081.025544349139,2.867670787141972
HFD10W,20260107_hfd10w-4_mt_1.jpg,173752.34235083425,5311.68818927326,3.0570455151321627
HFD10W,20260107_hfd10w-4_mt_2.jpg,175810.57592610054,4600.952021868226,2.6169938853975263
HFD10W,20260107_hfd10w-4_mt_3.jpg,177721.53831652374,4109.934960882271,2.3125699900044965
HFD10W,20260107_hfd10w-4_mt_4.jpg,177131.77490809694,3797.2381939862394,2.1437363205762483
HFD10W,20260107_hfd10w-4_mt_5.jpg,175735.32849467438,4873.013479121502,2.7729276297845695
HFD10W,20260107_hfd10w-4_mt_6.jpg,178435.0739937789,3881.9869921764553,2.175573952636576
HFD10W,20260107_hfd10w-5_mt_1.jpg,174683.56112734476,7136.3747761334735,4.085315601581444
HFD10W,20260107_hfd10w-5_mt_2.jpg,177664.19078141206,5531.1527947968725,3.1132625941499312
HFD10W,20260107_hfd10w-5_mt_3.jpg,176115.7224997644,7785.097558676597,4.420444380646942
HFD10W,20260107_hfd10w-5_mt_4.jpg,173895.54152134983,7349.476859270433,4.226374520572805
HFD10W,20260107_hfd10w-5_mt_5.jpg,177537.53416910177,6381.694787444624,3.5945609007761474
HFD10W,20260107_hfd10w-5_mt_6.jpg,177650.70223395235,5347.657649165804,3.010209124939652
HFD10W,20260107_hfd10w-6_mt_1.jpg,174516.01470449622,5418.748232632672,3.105014884627126
HFD10W,20260107_hfd10w-6_mt_2.jpg,174056.47092091624,5371.665566971441,3.0861625187219235
HFD10W,20260107_hfd10w-6_mt_3.jpg,176460.82571401645,4601.545857290981,2.607686912192362
HFD10W,20260107_hfd10w-6_mt_4.jpg,173970.19511735323,5532.255632010559,3.18000197003787
HFD10W,20260107_hfd10w-6_mt_5.jpg,172110.98124234146,5762.578942407392,3.34817621793311
HFD10W,20260107_hfd10w-6_mt_6.jpg,173837.17598265628,5190.800263926856,2.9860127642919956
SS10W,ss10w-1_mt_1.jpg,165552.40833254787,13159.901970025454,7.949085188534943
SS10W,ss10w-1_mt_2.jpg,163700.32048260915,7500.480723913661,4.581836310278012
SS10W,ss10w-1_mt_3.jpg,163817.39089452356,8861.212178339149,5.409201141559251
SS10W,ss10w-1_mt_4.jpg,167618.36176831,8931.793760015084,5.328648762455412
SS10W,ss10w-1_mt_5.jpg,166023.31982279202,7040.2582712791045,4.240523728108588
SS10W,ss10w-1_mt_6.jpg,166977.78301442176,7474.182298048829,4.47615375118694
SS10W,ss10w-2_mt_1.jpg,166320.57686869643,6327.995098501275,3.804697661370534
SS10W,ss10w-2_mt_2.jpg,162105.7027052503,5698.699217645397,3.515421803517358
SS10W,ss10w-2_mt_3.jpg,170413.5451032143,6370.072579885005,3.7380083701837465
SS10W,ss10w-2_mt_4.jpg,151229.01310208318,7800.537279668209,5.158095738152216
SS10W,ss10w-2_mt_5.jpg,161652.52144405697,7353.803374493356,4.549142388130509
SS10W,ss10w-2_mt_6.jpg,175241.59675747014,6907.408803845793,3.941649089973467
SS10W,ss10w-3_mt_1.jpg,161150.98501272508,5427.995098501274,3.368266782900929
SS10W,ss10w-3_mt_2.jpg,158706.75841266854,8537.487039306252,5.379409878127005
SS10W,ss10w-3_mt_3.jpg,173499.6229616364,9675.699877462535,5.576784382754532
SS10W,ss10w-3_mt_4.jpg,169240.04147422005,6391.620322367803,3.7766596289456853
SS10W,ss10w-3_mt_5.jpg,165388.76425676318,9532.076538787824,5.763436580244013
SS10W,ss10w-3_mt_6.jpg,175219.62484682823,8514.327457818836,4.859231644435837
SS10W,ss10w-4_mt_1.jpg,156551.13582807055,7154.9533415025,4.57036182053658
SS10W,ss10w-4_mt_2.jpg,164946.35686681126,6911.395984541429,4.190087077899
SS10W,ss10w-4_mt_3.jpg,160705.77811292303,6272.429069657839,3.9030513671079055
SS10W,ss10w-4_mt_4.jpg,173360.83513997553,5364.9637100575,3.09468035599027
SS10W,ss10w-4_mt_5.jpg,156533.15109812428,4488.971627863137,2.867745008882612
SS10W,ss10w-4_mt_6.jpg,150411.0472240551,6380.67678386276,4.242159669534104
SS10W,ss10w-5_mt_1.jpg,164807.2297106231,8208.841549627678,4.980874664322177
SS10W,ss10w-5_mt_2.jpg,151083.9475916675,8359.845414270905,5.533245290138264
SS10W,ss10w-5_mt_3.jpg,154224.40380808752,7365.086247525688,4.775564739216365
SS10W,ss10w-5_mt_4.jpg,160165.5575454803,8594.580073522484,5.366060097584953
SS10W,ss10w-5_mt_5.jpg,154138.0431708927,11295.598077104349,7.328235031880437
SS10W,ss10w-5_mt_6.jpg,164607.53134131402,8199.679517390898,4.981351369876781
SS10W,ss10w-6_mt_1.jpg,159969.2525214441,9399.227071354513,5.875646052727872
