序號,原始檔名,新檔名,Group,File,Tissue_Area_um2,Collagen_Area_um2,CVF_Percent
158,20260107_sham-5(10w)_mt_3.jpg,158.jpg,Sham10W,158.jpg,233686.1249,3523.270136,1.507693338
159,20260107_sham-5(10w)_mt_4.jpg,159.jpg,Sham10W,159.jpg,234841.9635,2751.6242,1.171691873
160,20260107_sham-5(10w)_mt_5.jpg,160.jpg,Sham10W,160.jpg,233850.0181,3731.397174,1.595636898
161,20260107_sham-5(10w)_mt_6.jpg,161.jpg,Sham10W,161.jpg,231483.5648,4522.932013,1.953889045
162,20260107_sham-6(10w)_mt_1.jpg,162.jpg,Sham10W,162.jpg,230784.5188,4325.564545,1.874287135
163,20260107_sham-6(10w)_mt_2.jpg,163.jpg,Sham10W,163.jpg,230726.8084,4994.070764,2.164495231
164,20260107_sham-6(10w)_mt_3.jpg,164.jpg,Sham10W,164.jpg,232842.0964,2934.428209,1.260265328
165,20260107_sham-6(10w)_mt_4.jpg,165.jpg,Sham10W,165.jpg,231825.0453,2930.733003,1.264200337
166,20260107_sham-6(10w)_mt_5.jpg,166.jpg,Sham10W,166.jpg,235168.5545,2574.036952,1.094549804
167,20260107_sham-6(10w)_mt_6.jpg,167.jpg,Sham10W,167.jpg,233406.2674,2782.816085,1.192262794
168,hs10wgae9-1_mt_1.jpg,168.jpg,GAE9,168.jpg,209867.4798,11299.50489,5.384114253
169,hs10wgae9-1_mt_2.jpg,169.jpg,GAE9,169.jpg,213182.0795,8932.073421,4.189880052
170,hs10wgae9-1_mt_3.jpg,170.jpg,GAE9,170.jpg,206004.9028,10929.11484,5.305269289
171,hs10wgae9-1_mt_4.jpg,171.jpg,GAE9,171.jpg,213306.7383,10677.40611,5.00565814
172,hs10wgae9-1_mt_5.jpg,172.jpg,GAE9,172.jpg,207890.5446,13310.45767,6.402627738
173,hs10wgae9-1_mt_6.jpg,173.jpg,GAE9,173.jpg,215221.7244,8170.96969,3.796535741
174,hs10wgae9-2_mt_1.jpg,174.jpg,GAE9,174.jpg,198801.5336,28551.00833,14.36156342
175,hs10wgae9-2_mt_2.jpg,175.jpg,GAE9,175.jpg,209782.2727,18649.92151,8.890132264
176,hs10wgae9-2_mt_3.jpg,176.jpg,GAE9,176.jpg,202832.5685,32210.56636,15.88037197
177,hs10wgae9-2_mt_4.jpg,177.jpg,GAE9,177.jpg,203425.8664,23116.77334,11.3637335
178,hs10wgae9-2_mt_5.jpg,178.jpg,GAE9,178.jpg,201263.6276,23442.16882,11.64749394
179,hs10wgae9-2_mt_6.jpg,179.jpg,GAE9,179.jpg,218577.0801,18696.11158,8.553555375
180,hs10wgae9-3_mt_1.jpg,180.jpg,GAE9,180.jpg,226644.2579,7408.561768,3.268806294
181,hs10wgae9-3_mt_2.jpg,181.jpg,GAE9,181.jpg,229314.6963,10408.63422,4.539017512
182,hs10wgae9-3_mt_3.jpg,182.jpg,GAE9,182.jpg,227889.4336,9001.73892,3.950046642
183,hs10wgae9-3_mt_4.jpg,183.jpg,GAE9,183.jpg,211432.6168,15116.43521,7.149528507
184,hs10wgae9-3_mt_5.jpg,184.jpg,GAE9,184.jpg,215747.5305,12629.45296,5.853811136
185,hs10wgae9-3_mt_6.jpg,185.jpg,GAE9,185.jpg,215191.2933,19053.45973,8.854196391
186,hs10wgae9-4_mt_1.jpg,186.jpg,GAE9,186.jpg,222272.9381,6162.190557,2.772353041
187,hs10wgae9-4_mt_2.jpg,187.jpg,GAE9,187.jpg,202714.648,11906.38812,5.873472014
